Cincinnati Tigers,CIN
QB,Anthony Redinbo,22,2020,56,64,78,102,61,78,0.500000,3
QB,Robbie Laguardia,24,2019,80,80,60,84,54,93,0.500000,1
RB,Allen Marn,31,2011,76,95,77,83,75,85,4.872000,2
RB,Hakeem Abramian,24,2019,69,64,90,97,67,69,0.500000,2
RB,Arron Hippo,32,2010,59,84,68,68,67,61,0.500000,1
RB,Ali Gunia,29,2013,80,81,56,56,59,61,0.500000,1
WR,Leonardo Harnois,33,2009,96,79,50,96,40,116,6.500000,3
WR,Mariano Gutschow,23,2018,50,61,76,76,68,100,3.800000,2
WR,Justin Ridinger,36,2007,97,102,54,75,89,68,4.089000,2
WR,Otis Gordner,22,2020,87,70,89,66,62,60,0.500000,1
WR,Rod Hauge,25,2017,83,76,52,59,66,66,0.500000,1
WR,Jonathon Parry,26,2016,88,61,75,60,68,59,0.500000,1
OL,Aaron Sandefer,24,2019,99,64,71,96,56,74,3.500000,3
OL,Louis Trimboli,29,2014,62,86,70,81,87,82,4.524000,1
OL,Jerome Schmuff,31,2010,95,93,56,85,85,69,3.219000,1
OL,Bernardo Luse,22,2020,71,60,88,90,65,73,3.700000,4
OL,Myron Sabala,24,2019,77,56,68,80,84,60,0.500000,1
OL,Damarco Aamot,22,2020,100,81,59,71,88,76,0.500000,2
OL,Jack Laing,23,2019,74,79,88,77,67,76,0.500000,1
OL,Emmett Dagdag,21,2020,86,59,83,63,89,90,0.500000,2
OL,Dante Kessler,24,2019,87,66,87,66,101,53,0.500000,1
OL,Gerry Studley,21,2020,82,71,55,61,66,67,0.500000,2
K,Al Werra,27,2015,79,78,68,70,83,95,1.566000,1
K,Virgil Locatelli,30,2012,51,73,78,69,69,58,0.500000,1
S,Agustin Kasey,28,2014,90,88,76,92,104,99,10.000000,3
S,Moses Donnie,30,2012,50,73,61,56,61,64,0.500000,1
CB,Jacob Kerr,26,2017,61,58,84,95,79,55,3.219000,1
CB,Barney Kerstetter,23,2018,60,85,60,90,67,60,0.500000,1
CB,Russell Peacemaker,23,2020,52,76,82,66,96,73,0.500000,2
CB,Bruce Cloepfil,31,2011,91,78,83,68,95,48,2.088000,1
CB,Leland Zabbo,27,2015,90,89,60,68,66,62,0.500000,1
CB,Nathaniel Goolsbee,31,2011,79,81,93,61,65,63,0.500000,1
LB,Alvin Yazzie,25,2017,84,81,88,100,72,82,5.568000,2
LB,Shelby Lincks,25,2018,87,87,64,79,83,88,2.300000,1
LB,William Curtiss,32,2010,58,73,79,67,72,67,1.479000,1
LB,Aaron Kellner,32,2010,50,85,51,65,59,57,0.500000,1
LB,Lane Kneller,27,2015,50,77,101,59,64,58,0.500000,1
LB,Edgar Bommarito,24,2018,69,74,78,57,65,58,0.500000,1
DL,Rene Port,32,2010,88,87,75,101,70,67,6.003000,2
DL,Ricardo Vachon,23,2019,86,68,61,100,64,56,1.800000,2
DL,Reuben Kreis,33,2009,68,92,83,83,51,102,2.600000,1
DL,Garrett Pay,22,2020,80,71,64,85,70,67,2.000000,3
DL,Charley Verunza,27,2015,90,84,57,78,81,74,2.523000,1
DL,Jefferson Urrutia,34,2008,50,73,79,75,55,56,2.262000,1
DL,Orlando Rawat,32,2009,94,99,78,60,82,68,1.653000,1
DL,Bert Gigliotti,29,2013,80,62,52,67,66,66,0.500000,1
END_PLAYERS
Baltimore Blackbirds,BAL
QB,Jeremy Anderson,23,2020,50,81,91,57,85,95,0.500000,3
QB,Emanuel Pendleton,22,2020,84,80,69,68,65,56,0.500000,1
RB,Sheldon Shoffstall,24,2018,80,67,75,97,96,64,2.800000,1
RB,Tyrell Chandrasekara,27,2015,91,72,63,82,69,103,5.481000,2
RB,Orlando Habbyshaw,23,2019,78,79,86,74,74,94,2.300000,2
RB,Jasper Arce,25,2016,82,81,71,59,80,76,2.871000,1
WR,Marshall Stania,30,2013,82,75,54,77,96,108,4.785000,1
WR,Sanford Posen,23,2019,55,71,50,84,70,99,3.800000,3
WR,Eli Hanners,21,2020,63,71,67,72,86,50,0.500000,2
WR,Claude Neufville,30,2013,76,72,65,55,72,86,2.262000,1
WR,Patrick Connarton,23,2019,83,84,62,63,68,60,0.500000,1
WR,Sebastian Viener,23,2019,79,58,95,55,59,65,0.500000,1
OL,Tyree Herbin,32,2010,70,98,70,94,68,86,6.000000,3
OL,Andre Tetlow,31,2010,71,91,62,99,69,60,5.200000,3
OL,Ty Nisly,29,2014,64,75,75,84,48,79,3.480000,2
OL,Ignacio Dorris,24,2019,69,83,95,66,83,92,0.500000,2
OL,Samuel Mcenroe,31,2012,50,83,94,82,35,83,2.436000,1
OL,Damon Kottenstette,22,2019,55,57,94,72,69,66,0.500000,1
OL,Humberto Mabb,25,2017,74,85,74,69,67,56,0.500000,1
OL,Jackie Reddington,32,2010,88,76,60,68,65,60,0.500000,1
OL,Dwight Harlow,25,2017,69,82,92,68,63,60,0.500000,1
OL,Denis Still,27,2015,71,83,66,58,60,69,0.500000,1
K,Corey Ingwell,29,2013,75,91,58,67,61,59,0.500000,1
K,Andy Douin,22,2020,57,82,65,60,59,62,0.500000,1
S,Shelton Weinmann,30,2013,74,71,50,76,77,74,2.784000,1
S,Harry Bustin,27,2014,60,75,56,80,76,65,3.219000,1
S,Quentin Schinnell,22,2020,58,65,56,63,93,45,0.500000,2
CB,Wilbert Girst,30,2012,83,84,90,82,70,78,2.697000,1
CB,Trent Stillson,22,2019,85,82,84,96,66,43,0.500000,1
CB,Ervin Gloria,23,2020,76,80,72,69,72,91,0.500000,2
CB,Bradley Angelovich,22,2020,91,79,71,86,49,73,2.200000,3
CB,Darik Gattison,31,2011,66,84,83,79,82,55,1.650000,1
CB,Numbers Asano,29,2013,88,68,68,55,62,60,0.500000,1
LB,Lynn Beckworth,27,2015,99,90,54,99,93,63,5.568000,1
LB,Riley Christe,29,2012,75,88,101,102,65,70,6.525000,1
LB,Darrin Harriage,23,2020,83,59,55,86,68,59,0.500000,2
LB,Louie Angier,23,2019,87,74,69,77,55,59,0.500000,1
LB,Frederic Gey,24,2018,76,74,84,68,67,66,0.500000,1
LB,James Kamirez,24,2018,50,73,81,61,60,59,0.500000,1
DL,Jan Montesino,24,2018,88,81,57,88,85,73,4.200000,2
DL,Harley Smack,23,2020,63,69,87,84,76,84,3.800000,4
DL,Donny Duponte,26,2017,98,65,76,89,84,54,2.697000,1
DL,Randall Dolgas,24,2018,55,67,77,75,102,72,0.800000,1
